fq,pc,prec,recall,f1_score,dimensions,count,pearson,rssi_base,time

simulazione_1

range 50
1, 5, 0.9659090909090909, 0.9444444444444444, 0.9550561797752809, True,     True, True, False, False

10, 1, 0.9980707395498393, 0.9598021026592455, 0.978562421185372, True,     False, False, False, True
10, 1, 0.9955640050697085, 0.9733581164807931, 0.9843358395989975, True,     False, False, True, False
10, 1, 1.0, 0.95, 0.9743589743589743, True,     False, False, True, True
10, 1, 0.957632398753894, 0.9858883899935856, 0.9715549936788874, True,     False, True, False, False
10, 1, 0.9986962190352021, 0.9468479604449939, 0.9720812182741118, True,     False, True, False, True
10, 1, 0.9929846938775511, 0.9676817899316346, 0.9801699716713881, True,     False, True, True, False
10, 1, 0.8409378960709759, 0.9215277777777777, 0.8793903247183565, True,     True, False, False, False
10, 1, 0.9986291980808774, 0.9004944375772559, 0.9470263243418916, True,     True, False, False, True
10, 1, 0.9898236092265943, 0.9079029247044181, 0.9470950989938332, True,     True, False, True, False
10, 1, 0.9884510869565217, 0.9071072319201995, 0.9460338101430428, True,     True, True, False, False
10, 2, 0.9966887417218543, 0.9297297297297298, 0.9620455453455853, True,     False, False, False, True
10, 2, 0.995253164556962, 0.9729311678267595, 0.9839655846695347, True,     False, False, True, False
10, 2, 1.0, 0.9207082371054658, 0.9587174348697395, True,     False, False, True, True
10, 2, 0.9487975174553918, 0.9839098954143202, 0.9660347551342812, True,     False, True, False, False
10, 2, 1.0, 0.9183987682832948, 0.9574638844301765, True,     False, True, False, True
10, 2, 0.9936254980079682, 0.9659178931061193, 0.9795758051846033, True,     False, True, True, False
10, 2, 0.821656050955414, 0.9036777583187391, 0.8607172643869891, True,     True, False, False, False
10, 2, 0.998220640569395, 0.8650732459521974, 0.9268897149938042, True,     True, False, False, True
10, 2, 0.9880341880341881, 0.8989113530326595, 0.9413680781758959, True,     True, False, True, False
10, 2, 0.9795221843003413, 0.8961748633879781, 0.9359967386873217, True,     True, True, False, False
10, 3, 0.9945736434108527, 0.9539033457249071, 0.9738140417457306, True,     False, False, False, True
